assessmentId,scientificName,internalTaxonId,doi
86924320,Picus canus,22726503,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22726503A86924320.en
87292744,Picus viridis,22725022,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22725022A87292744.en
87301348,Dryocopus martius,22681382,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22681382A87301348.en
87304270,Picoides tridactylus,22727137,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22727137A87304270.en
87321554,Dendrocopos syriacus,22681127,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22681127A87321554.en
87323054,Dendrocopos major,22681124,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22681124A87323054.en
89520690,Lagopus lagopus,22679460,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679460A89520690.en
89562931,Apus affinis,22686856,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22686856A89562931.en
89569039,Vanellus indicus,22694013,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22694013A89569039.en
89575948,Alcedo atthis,22683027,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22683027A89575948.en
89644875,Cygnus columbianus,22679862,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679862A89644875.en
89656879,Fulica cristata,22692907,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22692907A89656879.en
90008182,Turnix sylvaticus,22680500,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22680500A90008182.en
90010491,Ketupa zeylonensis,22689012,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22689012A90010491.en
90341807,Chlamydotis undulata,22728245,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22728245A90341807.en
92755192,Casuarius bennetti,22678111,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678111A92755192.en
92758680,Nothocercus julius,22678157,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678157A92758680.en
92759082,Crypturellus berlepschi,22678163,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678163A92759082.en
92759241,Crypturellus cinereus,22678166,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678166A92759241.en
92759944,Crypturellus obsoletus,22678176,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678176A92759944.en
92760164,Crypturellus undulatus,22678182,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678182A92760164.en
92760653,Crypturellus strigulosus,22678188,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678188A92760653.en
92761019,Crypturellus kerriae,22678194,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678194A92761019.en
92761578,Crypturellus noctivagus,22678217,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678217A92761578.en
92762055,Crypturellus variegatus,22678223,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678223A92762055.en
92762278,Crypturellus brevirostris,22678226,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678226A92762278.en
92762469,Crypturellus bartletti,22678229,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678229A92762469.en
92763523,Nothoprocta ornata,22678254,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678254A92763523.en
92763713,Nothoprocta pentlandii,22678259,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678259A92763713.en
92763901,Nothoprocta cinerascens,22678262,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678262A92763901.en
92764282,Nothoprocta curvirostris,22678268,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678268A92764282.en
92764444,Nothura darwinii,22678271,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678271A92764444.en
92765354,Nothura boraquira,22678283,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678283A92765354.en
92765892,Eudromia elegans,22678289,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678289A92765892.en
92766095,Eudromia formosa,22678294,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678294A92766095.en
92766253,Tinamotis pentlandii,22678299,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678299A92766253.en
92766436,Tinamotis ingoufi,22678302,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678302A92766436.en
92767035,Ortalis garrula,22678312,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678312A92767035.en
92767223,Ortalis ruficauda,22678315,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678315A92767223.en
92768145,Ortalis canicollis,22678328,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678328A92768145.en
92768579,Ortalis motmot,22678342,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678342A92768579.en
92768812,Ortalis superciliaris,22678348,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678348A92768812.en
92769048,Penelope argyrotis,22678354,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678354A92769048.en
92769891,Penelope montagnii,22678364,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678364A92769891.en
92770105,Penelope marail,22678367,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678367A92770105.en
92770503,Penelope dabbenei,22678373,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678373A92770503.en
92771552,Penelope jacquacu,22678386,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678386A92771552.en
92771775,Penelope obscura,22678389,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678389A92771775.en
92772529,Penelope jacucaca,22678398,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678398A92772529.en
92773628,Aburria aburri,22678440,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678440A92773628.en
92774138,Chamaepetes goudotii,22678446,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678446A92774138.en
92775039,Nothocrax urumutum,22678461,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678461A92775039.en
92775236,Mitu tomentosum,22678464,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678464A92775236.en
92775486,Mitu salvini,22678472,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678472A92775486.en
92776062,Pauxi pauxi,22678497,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678497A92776062.en
92777596,Crax globulosa,22678537,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678537A92777596.en
92777952,Crax blumenbachii,22678544,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678544A92777952.en
92778438,Aepypodius arfakianus,22678555,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678555A92778438.en
92779092,Talegalla fuscirostris,22678568,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678568A92779092.en
92779263,Talegalla jobiensis,22678572,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678572A92779263.en
92780941,Megapodius decollatus,22678607,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678607A92780941.en
92781287,Megapodius layardi,22678615,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678615A92781287.en
92783114,Lerwa lerwa,22678649,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678649A92783114.en
92783316,Ammoperdix heyi,22678657,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678657A92783316.en
92783560,Tetraogallus tibetanus,22678667,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678667A92783560.en
92783743,Tetraogallus altaicus,22678670,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678670A92783743.en
92784182,Tetraophasis obscurus,22678676,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678676A92784182.en
92784346,Tetraophasis szechenyii,22678680,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678680A92784346.en
92784515,Alectoris philbyi,22678698,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678698A92784515.en
92784709,Alectoris magna,22678703,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678703A92784709.en
92784875,Alectoris melanocephala,22678714,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678714A92784875.en
92785072,Francolinus pictus,22678722,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678722A92785072.en
92785250,Francolinus pintadeanus,22678725,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678725A92785250.en
92785771,Ortygornis gularis,22678733,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678733A92785771.en
92786419,Campocolinus albogularis,22678740,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678740A92786419.en
92786646,Campocolinus schlegelii,22678744,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678744A92786646.en
92786819,Peliperdix lathami,22678748,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678748A92786819.en
92787092,Ortygornis sephaena,22678752,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678752A92787092.en
92787372,Scleroptila streptophora,22678756,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678756A92787372.en
92787669,Scleroptila finschi,22678760,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678760A92787669.en
92787853,Scleroptila afra,22678764,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678764A92787853.en
92788045,Scleroptila levaillantii,22678769,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678769A92788045.en
92788267,Scleroptila gutturalis,22678790,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678790A92788267.en
92788815,Pternistis hartlaubi,22678799,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678799A92788815.en
92788993,Pternistis bicalcaratus,22678803,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678803A92788993.en
92789284,Pternistis clappertoni,22678807,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678807A92789284.en
92789533,Pternistis icterorhynchus,22678811,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678811A92789533.en
92790026,Pternistis adspersus,22678819,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678819A92790026.en
92790642,Pternistis natalensis,22678831,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678831A92790642.en
92790866,Pternistis ahantensis,22678835,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678835A92790866.en
92791112,Pternistis squamatus,22678839,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678839A92791112.en
92791375,Pternistis griseostriatus,22678843,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678843A92791375.en
92791674,Pternistis leucoscepus,22678847,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678847A92791674.en
92791903,Pternistis rufopictus,22678851,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678851A92791903.en
92792338,Pternistis swainsonii,22678860,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678860A92792338.en
92793729,Pternistis swierstrai,22678896,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678896A92793729.en
92794303,Perdix dauurica,22678916,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678916A92794303.en
92794533,Perdix hodgsoniae,22678919,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678919A92794533.en
92795607,Coturnix pectoralis,22678952,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678952A92795607.en
92795779,Coturnix novaezelandiae,22678955,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678955A92795779.en
92795981,Coturnix coromandelica,22678958,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678958A92795981.en
92796214,Coturnix delegorguei,22678961,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678961A92796214.en
92796647,Synoicus ypsilophorus,22678965,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678965A92796647.en
92796857,Synoicus adansonii,22678971,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678971A92796857.en
92797212,Synoicus chinensis,22678979,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678979A92797212.en
92797522,Anurophasis monorthonyx,22678993,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22678993A92797522.en
92797941,Perdicula argoondah,22679002,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679002A92797941.en
92798106,Perdicula erythrorhyncha,22679007,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679007A92798106.en
92798815,Arborophila rufogularis,22679020,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679020A92798815.en
92799033,Arborophila atrogularis,22679023,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679023A92799033.en
92799285,Arborophila crudigularis,22679026,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679026A92799285.en
92799833,Arborophila brunneopectus,22679032,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679032A92799833.en
92800034,Arborophila rufipectus,22679035,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679035A92800034.en
92800662,Arborophila javanica,22679044,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679044A92800662.en
92800839,Arborophila hyperythra,22679047,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679047A92800839.en
92801007,Arborophila gingica,22679050,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679050A92801007.en
92801643,Arborophila cambodiana,22679057,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679057A92801643.en
92802107,Arborophila ardens,22679063,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679063A92802107.en
92802432,Caloperdix oculeus,22679094,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679094A92802432.en
92802696,Haematortyx sanguiniceps,22679103,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679103A92802696.en
92803123,Ptilopachus petrosus,22679110,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679110A92803123.en
92803444,Bambusicola fytchii,22679114,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679114A92803444.en
92803652,Galloperdix spadicea,22679131,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679131A92803652.en
92803814,Galloperdix lunulata,22679134,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679134A92803814.en
92803967,Galloperdix bicalcarata,22679137,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679137A92803967.en
92804363,Ithaginis cruentus,22679144,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679144A92804363.en
92804874,Tragopan satyra,22679157,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679157A92804874.en
92805480,Tragopan temminckii,22679169,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679169A92805480.en
92805983,Pucrasia macrolopha,22679179,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679179A92805983.en
92806166,Lophophorus impejanus,22679182,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679182A92806166.en
92806372,Lophophorus sclateri,22679185,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679185A92806372.en
92806965,Gallus gallus,22679199,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679199A92806965.en
92807338,Gallus sonneratii,22679203,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679203A92807338.en
92807515,Gallus lafayettii,22679209,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679209A92807515.en
92807873,Lophura leucomelanos,22679217,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679217A92807873.en
92808107,Lophura nycthemera,22679220,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679220A92808107.en
92808547,Lophura diardi,22679274,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679274A92808547.en
92809416,Crossoptilon crossoptilon,22679292,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679292A92809416.en
92809690,Crossoptilon mantchuricum,22679299,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679299A92809690.en
92810024,Crossoptilon auritum,22679307,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679307A92810024.en
92810598,Syrmaticus ellioti,22679325,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679325A92810598.en
92810936,Syrmaticus humiae,22679330,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679330A92810936.en
92811293,Syrmaticus mikado,22679336,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679336A92811293.en
92811551,Syrmaticus soemmerringii,22679340,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679340A92811551.en
92812514,Polyplectron chalcurum,22679361,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679361A92812514.en
92812683,Polyplectron inopinatum,22679365,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679365A92812683.en
92812961,Polyplectron germaini,22679372,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679372A92812961.en
92814454,Pavo cristatus,22679435,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679435A92814454.en
92815595,Lyrurus mlokosiewiczi,22679483,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679483A92815595.en
92815954,Tetrao urogalloides,22679491,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679491A92815954.en
92816586,Centrocercus urophasianus,22679503,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679503A92816586.en
92819650,Acryllium vulturinum,22679572,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679572A92819650.en
92822247,Odontophorus capueira,22679635,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679635A92822247.en
92822619,Odontophorus erythrops,22679645,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679645A92822619.en
92822815,Odontophorus atrifrons,22679650,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679650A92822815.en
92823350,Odontophorus melanonotus,22679663,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679663A92823350.en
92824492,Odontophorus columbianus,22679683,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679683A92824492.en
92824903,Odontophorus balliviani,22679693,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679693A92824903.en
92825070,Odontophorus stellatus,22679698,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679698A92825070.en
92826187,Anhima cornuta,22679723,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679723A92826187.en
92826428,Chauna chavaria,22679726,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679726A92826428.en
92826769,Chauna torquata,22679729,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679729A92826769.en
92826979,Anseranas semipalmata,22679732,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679732A92826979.en
92827620,Dendrocygna bicolor,22679746,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679746A92827620.en
92828691,Dendrocygna javanica,22679758,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679758A92828691.en
92829021,Dendrocygna viduata,22679763,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679763A92829021.en
92830036,Thalassornis leuconotus,22679785,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679785A92830036.en
92831295,Biziura lobata,22679830,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679830A92831295.en
92831496,Heteronetta atricapilla,22679833,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679833A92831496.en
92831716,Stictonetta naevosa,22679836,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679836A92831716.en
92832118,Cygnus melancoryphus,22679846,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679846A92832118.en
92832574,Coscoroba coscoroba,22679866,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679866A92832574.en
92832782,Anser cygnoid,22679869,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679869A92832782.en
92834737,Anser canagicus,22679919,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679919A92834737.en
92836647,Chloephaga melanoptera,22679972,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679972A92836647.en
92836848,Chloephaga picta,22679975,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22679975A92836848.en
