assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
86074207,22690088,Columba oenas,14.1,Artificial/Terrestrial - Arable Land,No,breeding,Suitable
86074207,22690088,Columba oenas,14.2,Artificial/Terrestrial - Pastureland,No,breeding,Suitable
86074207,22690088,Columba oenas,14.4,Artificial/Terrestrial - Rural Gardens,No,breeding,Suitable
86074207,22690088,Columba oenas,3.3,Shrubland - Boreal,No,breeding,Suitable
86074207,22690088,Columba oenas,3.4,Shrubland - Temperate,No,breeding,Suitable
86082635,22690117,Columba bollii,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable
86082635,22690117,Columba bollii,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,No,resident,Suitable
86082635,22690117,Columba bollii,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86103675,22689887,Caprimulgus europaeus,1.5,Forest - Subtropical/Tropical Dry,No,non-breeding,Suitable
86103675,22689887,Caprimulgus europaeus,1.4,Forest - Temperate,No,breeding,Suitable
86103675,22689887,Caprimulgus europaeus,4.5,Grassland - Subtropical/Tropical Dry,No,non-breeding,Suitable
86103675,22689887,Caprimulgus europaeus,4.4,Grassland - Temperate,No,breeding,Suitable
86103675,22689887,Caprimulgus europaeus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,breeding,Suitable
86103675,22689887,Caprimulgus europaeus,3.4,Shrubland - Temperate,No,breeding,Suitable
86109107,22686774,Tachymarptis melba,1.6,Forest - Subtropical/Tropical Moist Lowland,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,1.5,Forest - Subtropical/Tropical Dry,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,breeding,Suitable
86109107,22686774,Tachymarptis melba,4.5,Grassland - Subtropical/Tropical Dry,No,non-breeding,Suitable
