internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22679494,Tetrastes bonasia,"Bonasa bonasia (Linnaeus, 1758)",Bonasa,bonasia,"(Linnaeus, 1758)",,
22679480,Lyrurus tetrix,"Tetrao tetrix Linnaeus, 1758",Tetrao,tetrix,"Linnaeus, 1758",,
22680465,Mergellus albellus,Mergus albellus albellus Cramp and Simmons (1977-1994),Mergus albellus,albellus,Cramp and Simmons (1977-1994),,
22680465,Mergellus albellus,Mergus albellus,Mergus albellus,,AERC TAC (2003),,
22680313,Spatula querquedula,"Anas querquedula Linnaeus, 1758",Anas,querquedula,"Linnaeus, 1758",,
22680149,Mareca strepera,"Anas strepera Linnaeus, 1758",Anas,strepera,"Linnaeus, 1758",,
22686774,Tachymarptis melba,Apus melba AERC TAC (2003),Apus,melba,AERC TAC (2003),,
22686774,Tachymarptis melba,"Apus melba ssp. melba Dowsett and Forbes-Watson, (1993)",Apus,melba,,subspecies,"Dowsett and Forbes-Watson, (1993)"
22686774,Tachymarptis melba,Apus melba ssp. melba AOU checklist (1998 + supplements),Apus,melba,,subspecies,AOU checklist (1998 + supplements)
22686774,Tachymarptis melba,Apus melba ssp. melba Cramp and Simmons (1977-1994),Apus,melba,,subspecies,Cramp and Simmons (1977-1994)
22692663,Zapornia parva,"Porzana parva (Scopoli, 1769)",Porzana,parva,"(Scopoli, 1769)",,
22693906,Eudromias morinellus,Charadrius morinellus,Charadrius morinellus,,AERC TAC (2003),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Dowsett and Forbes-Watson (1993),Charadrius morinellus,morinellus,Dowsett and Forbes-Watson (1993),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Cramp and Simmons (1977-1994),Charadrius morinellus,morinellus,Cramp and Simmons (1977-1994),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus AOU checklist (1998 + supplements),Charadrius morinellus,morinellus,AOU checklist (1998 + supplements),,
