internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,schleiermacheri,,,,,"Brüggemann, 1877",
22678664,Tetraogallus caspius,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,caspius,,,,,"(Gmelin, 1784)",
22678707,Alectoris barbara,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,barbara,,,,,"(Reichenow, 1896)",
22678652,Ammoperdix griseogularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Ammoperdix,griseogularis,,,,,"(Brandt, 1843)",
45100023,Phasianus colchicus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Phasianus,colchicus,,,,,"(Linnaeus, 1758)","<em>Phasianus colchicus</em> and <em>P. versicolor </em>(del Hoyo and Collar 2014) were previously lumped as <em>P. colchicus </em>following Sibley and Monroe (1990, 1993)."
22679494,Tetrastes bonasia,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrastes,bonasia,,,,,"(Linnaeus, 1758)","Formerly placed in genus<em> Bonasa&#160;</em>(AERC TAC 2003, Cramp&#160;<em>et al.&#160;</em>1977-1994, del Hoyo and Collar 2014), this reinforced by Lucchini<em> et al. </em>(2001)&#160;despite behavioural differences from <em>Bonasa umbellus </em>(Drovetski <em>et al. </em>2006), but the phylogeny of Kimball <em>et al.</em> (2021) show that the genus <em>Bonasa</em> is not monophyletic, and that this species should be placed in the genus <em>Tetrastes</em>. Occasional hybridization by present species with <em>Lagopus lagopus</em>, <em>Lagopus muta </em>and <em>Lyrurus tetrix</em> reported. Complex internal taxonomy, and assessment of variation made more difficult by existence of two colour morphs, grey and rufous, over much of range. Various attempts to lump subspecies, e.g. sometimes only four recognized, with <em>styriaca</em>, <em>rhenana</em> and <em>schiebeli </em>placed in <em>rupestris</em>; <em>volgensis</em> and <em>griseonota</em> in <em>bonasia</em>; <em>kolymensis</em> in <em>sibirica</em>; and <em>amurensis</em> and <em>yamashinai </em>in <em>vicinitas</em>. Other proposed subspecies include <em>horicei </em>and <em>carpathicus</em> (included in <em>rupestris</em>), and <em>gilacorum</em> and <em>coreensis</em> (included in <em>amurensis</em>). Twelve subspecies currently recognised."
22679487,Tetrao urogallus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrao,urogallus,,,,,"Linnaeus, 1758",
22679480,Lyrurus tetrix,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lyrurus,tetrix,,,,,"(Linnaeus, 1758)","<em>Lyrurus tetrix</em> (del Hoyo and Collar&#160;2014) was previously placed in the genus <em>Tetrao</em>. Original note from Illustrated Checklists: Often placed with closely related&#160; <em>L. mlokosiewiczi</em> in genus&#160; <em>Tetrao</em>. Commonly hybridizes with&#160; <em>Tetrao urogallus</em>, and quite often with <em>Lagopus lagopus</em>, both hybrids even receiving vernacular names; also occasionally with&#160; <em>Lagopus muta</em> and&#160; <em>Tetrastes bonasia</em>. Geographical variation clinal: race&#160;<em>tschusii</em> often included in <em>viridanus</em>, but likely an intergrade; <em>baikalensis</em> sometimes subsumed within <em>ussuriensis</em>. Proposed race&#160; <em>fedjuschini</em> (from NW &amp; N Ukraine) included in nominate. Review of subspecies required. Seven subspecies currently recognized."
22679839,Cygnus olor,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,olor,,,,,"(Gmelin, 1789)",
22679856,Cygnus cygnus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,cygnus,,,,,"(Linnaeus, 1758)",
22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,brachyrhynchus,,,,,"Baillon, 1834",
