assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
84727794,22715775,Liocichla steerii,3.7,Shrubland - Subtropical/Tropical High Altitude,No,resident,Suitable
84727794,22715775,Liocichla steerii,14.3,Artificial/Terrestrial - Plantations,No,resident,Suitable
84727794,22715775,Liocichla steerii,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable
87339356,22705038,Lanius minor,4.5,Grassland - Subtropical/Tropical Dry,No,non-breeding,Suitable
87339356,22705038,Lanius minor,4.4,Grassland - Temperate,No,breeding,Suitable
87339356,22705038,Lanius minor,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,breeding,Suitable
87339356,22705038,Lanius minor,3.5,Shrubland - Subtropical/Tropical Dry,Yes,non-breeding,Suitable
87339356,22705038,Lanius minor,3.4,Shrubland - Temperate,No,breeding,Suitable
87339356,22705038,Lanius minor,2.1,Savanna - Dry,Yes,non-breeding,Suitable
87339356,22705038,Lanius minor,14.4,Artificial/Terrestrial - Rural Gardens,No,breeding,Suitable
87339356,22705038,Lanius minor,14.2,Artificial/Terrestrial - Pastureland,No,breeding,Suitable
87339356,22705038,Lanius minor,14.1,Artificial/Terrestrial - Arable Land,No,breeding,Suitable
87356809,22705775,Perisoreus infaustus,1.4,Forest - Temperate,No,resident,Suitable
87356809,22705775,Perisoreus infaustus,1.1,Forest - Boreal,Yes,resident,Suitable
87382835,103727252,Nucifraga caryocatactes,1.4,Forest - Temperate,Yes,resident,Suitable
87382835,103727252,Nucifraga caryocatactes,1.1,Forest - Boreal,Yes,resident,Suitable
87382835,103727252,Nucifraga caryocatactes,1.9,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable
87382835,103727252,Nucifraga caryocatactes,14.5,Artificial/Terrestrial - Urban Areas,,non-breeding,Marginal
87384853,22705916,Pyrrhocorax pyrrhocorax,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,No,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,12.6,Marine Intertidal - Tidepools,No,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,12.1,Marine Intertidal - Rocky Shoreline,No,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,4.4,Grassland - Temperate,No,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,resident,Suitable
87384853,22705916,Pyrrhocorax pyrrhocorax,14.2,Artificial/Terrestrial - Pastureland,No,resident,Suitable
87386602,22705921,Pyrrhocorax graculus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
87386602,22705921,Pyrrhocorax graculus,4.4,Grassland - Temperate,No,resident,Suitable
87386602,22705921,Pyrrhocorax graculus,14.5,Artificial/Terrestrial - Urban Areas,No,resident,Suitable
87386602,22705921,Pyrrhocorax graculus,14.2,Artificial/Terrestrial - Pastureland,No,resident,Suitable
87399543,22708146,Bombycilla garrulus,1.4,Forest - Temperate,No,non-breeding,Suitable
87399543,22708146,Bombycilla garrulus,1.1,Forest - Boreal,Yes,breeding,Suitable
87399543,22708146,Bombycilla garrulus,14.5,Artificial/Terrestrial - Urban Areas,No,non-breeding,Suitable
87399543,22708146,Bombycilla garrulus,14.4,Artificial/Terrestrial - Rural Gardens,No,non-breeding,Suitable
87399543,22708146,Bombycilla garrulus,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
87424950,22711750,Poecile cinctus,1.4,Forest - Temperate,No,resident,Suitable
87424950,22711750,Poecile cinctus,1.1,Forest - Boreal,Yes,resident,Suitable
87424950,22711750,Poecile cinctus,3.3,Shrubland - Boreal,No,resident,Suitable
87427182,22711810,Lophophanes cristatus,1.4,Forest - Temperate,Yes,resident,Suitable
87427182,22711810,Lophophanes cristatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,resident,Suitable
87427182,22711810,Lophophanes cristatus,1.1,Forest - Boreal,No,resident,Suitable
87427182,22711810,Lophophanes cristatus,3.4,Shrubland - Temperate,No,resident,Suitable
87427182,22711810,Lophophanes cristatus,14.4,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable
87431138,22735990,Parus major,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable
87431138,22735990,Parus major,1.9,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable
87431138,22735990,Parus major,14.1,Artificial/Terrestrial - Arable Land,No,resident,Suitable
87431138,22735990,Parus major,14.3,Artificial/Terrestrial - Plantations,No,resident,Suitable
87431138,22735990,Parus major,14.4,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable
87431138,22735990,Parus major,14.5,Artificial/Terrestrial - Urban Areas,No,resident,Suitable
87431138,22735990,Parus major,3.4,Shrubland - Temperate,No,resident,Suitable
87431138,22735990,Parus major,3.5,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable
87431138,22735990,Parus major,1.1,Forest - Boreal,No,resident,Suitable
87431138,22735990,Parus major,4.4,Grassland - Temperate,No,resident,Suitable
87431138,22735990,Parus major,1.4,Forest - Temperate,Yes,resident,Suitable
87431138,22735990,Parus major,8.2,Desert - Temperate,No,resident,Suitable
87431138,22735990,Parus major,1.5,Forest - Subtropical/Tropical Dry,No,resident,Suitable
87431138,22735990,Parus major,1.6,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable
87434883,22735985,Cyanistes cyanus,1.8,Forest - Subtropical/Tropical Swamp,No,resident,Suitable
87434883,22735985,Cyanistes cyanus,1.4,Forest - Temperate,Yes,resident,Suitable
87434883,22735985,Cyanistes cyanus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,resident,Suitable
87434883,22735985,Cyanistes cyanus,3.7,Shrubland - Subtropical/Tropical High Altitude,No,resident,Suitable
87434883,22735985,Cyanistes cyanus,3.5,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable
87434883,22735985,Cyanistes cyanus,14.4,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable
87434883,22735985,Cyanistes cyanus,14.1,Artificial/Terrestrial - Arable Land,No,resident,Suitable
87471081,103871923,Aegithalos caudatus,1.4,Forest - Temperate,Yes,non-breeding,Suitable
87471081,103871923,Aegithalos caudatus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,non-breeding,Suitable
87471081,103871923,Aegithalos caudatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,non-breeding,Suitable
87471081,103871923,Aegithalos caudatus,14.1,Artificial/Terrestrial - Arable Land,No,breeding,Suitable
87471081,103871923,Aegithalos caudatus,14.2,Artificial/Terrestrial - Pastureland,No,breeding,Suitable
87471081,103871923,Aegithalos caudatus,14.4,Artificial/Terrestrial - Rural Gardens,No,breeding,Suitable
87471081,103871923,Aegithalos caudatus,14.5,Artificial/Terrestrial - Urban Areas,No,breeding,Suitable
87471081,103871923,Aegithalos caudatus,3.4,Shrubland - Temperate,No,breeding,Suitable
87471081,103871923,Aegithalos caudatus,1.1,Forest - Boreal,No,breeding,Suitable
87485192,22717285,Melanocorypha calandra,4.5,Grassland - Subtropical/Tropical Dry,Yes,non-breeding,Suitable
87485192,22717285,Melanocorypha calandra,4.4,Grassland - Temperate,Yes,non-breeding,Suitable
87485192,22717285,Melanocorypha calandra,14.2,Artificial/Terrestrial - Pastureland,No,non-breeding,Suitable
87485192,22717285,Melanocorypha calandra,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
87560838,22714684,Locustella luscinioides,1.6,Forest - Subtropical/Tropical Moist Lowland,No,non-breeding,Suitable
87560838,22714684,Locustella luscinioides,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,breeding,Suitable
87560838,22714684,Locustella luscinioides,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,non-breeding,Suitable
87560838,22714684,Locustella luscinioides,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
87560838,22714684,Locustella luscinioides,3.6,Shrubland - Subtropical/Tropical Moist,No,non-breeding,Suitable
87560838,22714684,Locustella luscinioides,2.1,Savanna - Dry,No,non-breeding,Suitable
87560838,22714684,Locustella luscinioides,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,14.1,Artificial/Terrestrial - Arable Land,No,breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),No,breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,2.1,Savanna - Dry,No,breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
87569807,22714700,Acrocephalus schoenobaenus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,breeding,Suitable
87610887,22714904,Hippolais languida,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,breeding,Suitable
87610887,22714904,Hippolais languida,8.1,Desert - Hot,No,breeding,Suitable
87610887,22714904,Hippolais languida,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,breeding,Suitable
87610887,22714904,Hippolais languida,3.5,Shrubland - Subtropical/Tropical Dry,No,non-breeding,Suitable
87610887,22714904,Hippolais languida,2.1,Savanna - Dry,No,non-breeding,Suitable
87610887,22714904,Hippolais languida,14.3,Artificial/Terrestrial - Plantations,No,breeding,Suitable
87611501,22714908,Hippolais olivetorum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,breeding,Suitable
87611501,22714908,Hippolais olivetorum,2.1,Savanna - Dry,No,non-breeding,Suitable
87611501,22714908,Hippolais olivetorum,14.3,Artificial/Terrestrial - Plantations,No,breeding,Suitable
87636348,22715240,Phylloscopus trochilus,1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,non-breeding,Suitable
87636348,22715240,Phylloscopus trochilus,1.6,Forest - Subtropical/Tropical Moist Lowland,No,non-breeding,Suitable
