internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22715775,Liocichla steerii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Liocichla,steerii,,,,,"Swinhoe, 1877",
22705038,Lanius minor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LANIIDAE,Lanius,minor,,,,,"Gmelin, 1788",
22705775,Perisoreus infaustus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Perisoreus,infaustus,,,,,"(Linnaeus, 1758)",
103727252,Nucifraga caryocatactes,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Nucifraga,caryocatactes,,,,,"(Linnaeus, 1758)","<p><em>Nucifraga caryocatactes, N. hemispila </em>and<em> N. multipunctata</em> (del Hoyo and Collar 2016) were previously lumped as <em>N. caryocatactes</em> following AERC TAC (2003), Cramp et al. (1977-1994) and Sibley &amp; Monroe (1990, 1993).</p>"
22705916,Pyrrhocorax pyrrhocorax,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Pyrrhocorax,pyrrhocorax,,,,,"(Linnaeus, 1758)",
22705921,Pyrrhocorax graculus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Pyrrhocorax,graculus,,,,,"(Linnaeus, 1766)",
22708146,Bombycilla garrulus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,BOMBYCILLIDAE,Bombycilla,garrulus,,,,,"(Linnaeus, 1758)",
22711750,Poecile cinctus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Poecile,cinctus,,,,,"(Boddaert, 1783)",<em>Poecile cinctus</em> (del Hoyo and Collar   2016) was previously listed as <em>Parus cinctus</em>.
22711810,Lophophanes cristatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Lophophanes,cristatus,,,,,"(Linnaeus, 1758)",<p><em>Lophophanes cristatus </em>(del Hoyo and Collar 2016) was previously listed as <em>Parus cristatus</em>.</p>
22735990,Parus major,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Parus,major,,,,,"Linnaeus, 1758",
22735985,Cyanistes cyanus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Cyanistes,cyanus,,,,,"(Pallas, 1770)",<em>Cyanistes cyanus</em> (del Hoyo and   Collar 2016) was previously listed as<em> Parus cyanus</em>.
103871923,Aegithalos caudatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Aegithalos,caudatus,,,,,"(Linnaeus, 1758)","<p><em>Aegithalos caudatus </em>and<em> A. glaucogularis</em> (del Hoyo and Collar 2016) were previously lumped as <em>A. caudatus</em> following AERC TAC (2003), Cramp et al. (1977-1994) and Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22717285,Melanocorypha calandra,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Melanocorypha,calandra,,,,,"(Linnaeus, 1766)",
22714684,Locustella luscinioides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LOCUSTELLIDAE,Locustella,luscinioides,,,,,"(Savi, 1824)",
22714700,Acrocephalus schoenobaenus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,schoenobaenus,,,,,"(Linnaeus, 1758)",
22714904,Hippolais languida,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Hippolais,languida,,,,,"(Ehrenberg, 1833)",
22714908,Hippolais olivetorum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Hippolais,olivetorum,,,,,"(Strickland, 1837)",
22715240,Phylloscopus trochilus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,trochilus,,,,,"(Linnaeus, 1758)",
22729528,Phylloscopus canariensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,canariensis,,,,,"(Hartwig, 1886)",
22715255,Phylloscopus bonelli,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,bonelli,,,,,"(Vieillot, 1819)","<p><em>Phylloscopus bonelli </em>and<em> P. orientalis </em>(del Hoyo and Collar 2016) were previously lumped as <em>P. bonelli</em> following Cramp et al. (1977-1994), Dowsett &amp; Forbes-Watson (1993) and Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22715260,Phylloscopus sibilatrix,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,sibilatrix,,,,,"(Bechstein, 1793)",
103845882,Phylloscopus borealis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,borealis,,,,,"(Blasius, 1858)","<p><em>Phylloscopus borealis, P. examinandus </em>and<em> P. xanthodryas</em> (del Hoyo and Collar 2016) were previously lumped as <em>P. borealis </em>following AERC TAC (2003), AOU (1998 &amp; supplements), Christidis and Boles (2008), Cramp <em>et al</em>. (1977–1994), Sibley and Monroe (1990, 1993) and Stotz <em>et al</em>. (1996).</p>  <p>&#160;</p>"
22716901,Sylvia atricapilla,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Sylvia,atricapilla,,,,,"(Linnaeus, 1758)",
