internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22711750,Poecile cinctus,Poecile cincta cincta AOU checklist (1998 + supplements),Poecile cincta,cincta,AOU checklist (1998 + supplements),,
22711750,Poecile cinctus,"Parus cinctus Boddaert, 1783",Parus,cinctus,"Boddaert, 1783",,
22711810,Lophophanes cristatus,"Parus cristatus Linnaeus, 1758",Parus,cristatus,"Linnaeus, 1758",,
22735985,Cyanistes cyanus,"Parus cyanus Pallas, 1770",Parus,cyanus,"Pallas, 1770",,
22716937,Curruca nisoria,"Sylvia nisoria (Bechstein, 1795)",Sylvia,nisoria,"(Bechstein, 1795)",,
22716937,Curruca nisoria,"Motacilla nisoria Bechstein, 1795",Motacilla,nisoria,"Bechstein, 1795",,
22716971,Curruca mystacea,"Sylvia mystacea Ménétries, 1832",Sylvia,mystacea,"Ménétries, 1832",,
22735017,Curruca sarda,"Sylvia sarda Temminck, 1820",Sylvia,sarda,"Temminck, 1820",,
22710881,Pastor roseus,"Sturnus roseus (Linnaeus, 1758)",Sturnus,roseus,"(Linnaeus, 1758)",,
22709701,Calliope calliope,"Luscinia calliope (Pallas, 1776)",Luscinia,calliope,"(Pallas, 1776)",,
22720532,Rhodospiza obsoleta,Rhodospiza obsoleta obsoleta Cramp and Simmons (1977-1994),Rhodospiza obsoleta,obsoleta,Cramp and Simmons (1977-1994),,
22720532,Rhodospiza obsoleta,Rhodopechys obsoleta,Rhodopechys obsoleta,,"Sibley and Monroe (1990, 1993)",,
22720532,Rhodospiza obsoleta,Rhodopechys obsoleta,Rhodopechys obsoleta,,BirdLife International (2004),,
22720532,Rhodospiza obsoleta,Rhodospiza obsoleta,Rhodospiza obsoleta,,AERC TAC (2003),,
22720532,Rhodospiza obsoleta,"Rhodopechys obsoletus (Lichtenstein, 1823)",Rhodopechys,obsoletus,"(Lichtenstein, 1823)",,
22698593,Traversia lyalli,"Xenicus lyalli lyalli (Rothschild, 1894) — Sibley and Monroe (1990, 1993)",Xenicus lyalli,lyalli,"(Rothschild, 1894) — Sibley and Monroe (1990, 1993)",,
22698602,Hydrornis nipalensis,"Pitta nipalensis (Hodgson, 1837)",Pitta,nipalensis,"(Hodgson, 1837)",,
22698605,Hydrornis soror,"Pitta soror Wardlaw-Ramsay, 1881",Pitta,soror,"Wardlaw-Ramsay, 1881",,
22698611,Hydrornis schneideri,"Pitta schneideri Hartert, 1909",Pitta,schneideri,"Hartert, 1909",,
22698617,Hydrornis cyaneus,"Pitta cyanea Blyth, 1843",Pitta,cyanea,"Blyth, 1843",,
22698625,Hydrornis elliotii,"Pitta elliotii Oustalet, 1874",Pitta,elliotii,"Oustalet, 1874",,
22698648,Erythropitta kochi,"Pitta kochi Brüggemann, 1876",Pitta,kochi,"Brüggemann, 1876",,
103656341,Erythropitta erythrogaster,"Pitta erythrogaster Temminck, 1823",Pitta,erythrogaster,"Temminck, 1823",,
22698656,Erythropitta dohertyi,"Pitta dohertyi Rothschild, 1898",Pitta,dohertyi,"Rothschild, 1898",,
22698667,Erythropitta venusta,"Pitta venusta Müller, 1835",Pitta,venusta,"Müller, 1835",,
22698844,Poecilotriccus albifacies,Todirostrum albifacies albifacies Collar and Andrew (1988),Todirostrum albifacies,albifacies,Collar and Andrew (1988),,
22698863,Hemitriccus josephinae,Microcochlearius josephinae josephinae Collar and Andrew (1988),Microcochlearius josephinae,josephinae,Collar and Andrew (1988),,
22698907,Hemitriccus orbitatus,Idioptilon orbitatum orbitatum Collar and Andrew (1988),Idioptilon orbitatum,orbitatum,Collar and Andrew (1988),,
22698964,Hemitriccus furcatus,Ceratotriccus furcatus furcatus Collar and Andrew (1988),Ceratotriccus furcatus,furcatus,Collar and Andrew (1988),,
22698972,Poecilotriccus senex,Todirostrum senex,Todirostrum senex,,"Sibley and Monroe (1990, 1993)",,
22698972,Poecilotriccus senex,Todirostrum senex,Todirostrum senex,,Stotz et al. (1996),,
22698972,Poecilotriccus senex,Todirostrum senex,Todirostrum senex,,BirdLife International (2004),,
22698979,Poecilotriccus russatus,Todirostrum russatum,Todirostrum russatum,,"Sibley and Monroe (1990, 1993)",,
22698979,Poecilotriccus russatus,Todirostrum russatum,Todirostrum russatum,,BirdLife International (2004),,
22698979,Poecilotriccus russatus,Todirostrum russatum,Todirostrum russatum,,Stotz et al. (1996),,
22698986,Poecilotriccus plumbeiceps,Todirostrum plumbeiceps,Todirostrum plumbeiceps,,"Sibley and Monroe (1990, 1993)",,
22698986,Poecilotriccus plumbeiceps,Todirostrum plumbeiceps,Todirostrum plumbeiceps,,BirdLife International (2004),,
22698986,Poecilotriccus plumbeiceps,Todirostrum plumbeiceps,Todirostrum plumbeiceps,,Stotz et al. (1996),,
22698993,Poecilotriccus latirostris,Todirostrum latirostre,Todirostrum latirostre,,"Sibley and Monroe (1990, 1993)",,
22698993,Poecilotriccus latirostris,Todirostrum latirostre,Todirostrum latirostre,,BirdLife International (2004),,
22698993,Poecilotriccus latirostris,Todirostrum latirostre,Todirostrum latirostre,,Stotz et al. (1996),,
22699000,Poecilotriccus fumifrons,Todirostrum fumifrons,Todirostrum fumifrons,,Stotz et al. (1996),,
22699000,Poecilotriccus fumifrons,Todirostrum fumifrons,Todirostrum fumifrons,,BirdLife International (2004),,
22699000,Poecilotriccus fumifrons,Todirostrum fumifrons,Todirostrum fumifrons,,"Sibley and Monroe (1990, 1993)",,
22699047,Poecilotriccus calopterus,Todirostrum calopterum,Todirostrum calopterum,,Stotz et al. (1996),,
22699047,Poecilotriccus calopterus,Todirostrum calopterum,Todirostrum calopterum,,"Sibley and Monroe (1990, 1993)",,
22699047,Poecilotriccus calopterus,Todirostrum calopterum,Todirostrum calopterum,,BirdLife International (2004),,
22699054,Poecilotriccus pulchellus,Todirostrum pulchellum,Todirostrum pulchellum,,BirdLife International (2004),,
22699054,Poecilotriccus pulchellus,Todirostrum pulchellum,Todirostrum pulchellum,,Stotz et al. (1996),,
22699054,Poecilotriccus pulchellus,Todirostrum pulchellum,Todirostrum pulchellum,,"Sibley and Monroe (1990, 1993)",,
22699061,Corythopis torquatus,Corythopis torquata,Corythopis torquata,,BirdLife International (2004),,
