assessmentId,scientificName,internalTaxonId,doi
84727794,Liocichla steerii,22715775,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22715775A84727794.en
87339356,Lanius minor,22705038,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22705038A87339356.en
87356809,Perisoreus infaustus,22705775,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22705775A87356809.en
87382835,Nucifraga caryocatactes,103727252,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T103727252A87382835.en
87384853,Pyrrhocorax pyrrhocorax,22705916,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22705916A87384853.en
87386602,Pyrrhocorax graculus,22705921,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22705921A87386602.en
87399543,Bombycilla garrulus,22708146,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22708146A87399543.en
87424950,Poecile cinctus,22711750,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22711750A87424950.en
87427182,Lophophanes cristatus,22711810,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22711810A87427182.en
87431138,Parus major,22735990,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22735990A87431138.en
87434883,Cyanistes cyanus,22735985,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22735985A87434883.en
87471081,Aegithalos caudatus,103871923,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T103871923A87471081.en
87485192,Melanocorypha calandra,22717285,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22717285A87485192.en
87560838,Locustella luscinioides,22714684,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714684A87560838.en
87569807,Acrocephalus schoenobaenus,22714700,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714700A87569807.en
87610887,Hippolais languida,22714904,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714904A87610887.en
87611501,Hippolais olivetorum,22714908,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714908A87611501.en
87636348,Phylloscopus trochilus,22715240,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22715240A87636348.en
87661577,Phylloscopus canariensis,22729528,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22729528A87661577.en
87665883,Phylloscopus bonelli,22715255,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22715255A87665883.en
87668662,Phylloscopus sibilatrix,22715260,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22715260A87668662.en
87673832,Phylloscopus borealis,103845882,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T103845882A87673832.en
87681382,Sylvia atricapilla,22716901,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22716901A87681382.en
87716403,Curruca nisoria,22716937,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22716937A87716403.en
87755889,Curruca mystacea,22716971,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22716971A87755889.en
87766144,Curruca sarda,22735017,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22735017A87766144.en
87767500,Panurus biarmicus,22716776,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22716776A87767500.en
87781502,Regulus ignicapilla,22735002,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22735002A87781502.en
87783769,Regulus madeirensis,22734358,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22734358A87783769.en
87827898,Sitta tephronota,22711211,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22711211A87827898.en
87839163,Certhia brachydactyla,22711249,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22711249A87839163.en
87844468,Pastor roseus,22710881,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710881A87844468.en
87851643,Sturnus unicolor,22710893,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710893A87851643.en
87871094,Turdus merula,103888106,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T103888106A87871094.en
